Date,Clicks,Impressions,CTR,Position
2025-04-14,0,0,,
2025-04-15,0,0,,
2025-04-16,0,0,,
2025-04-17,1,1,100%,1
2025-04-18,0,0,,
2025-04-19,0,3,0%,24.3
2025-04-20,0,1,0%,9
2025-04-21,0,2,0%,4.5
2025-04-22,0,0,,
2025-04-23,0,1,0%,1
2025-04-24,0,2,0%,61.5
2025-04-25,0,1,0%,10
2025-04-26,0,4,0%,22.8
2025-04-27,0,1,0%,12
2025-04-28,0,3,0%,31
2025-04-29,0,5,0%,26.2
2025-04-30,1,4,25%,16.2
2025-05-01,0,2,0%,7
2025-05-02,1,2,50%,6
2025-05-03,0,2,0%,30.5
2025-05-04,0,4,0%,23.2
2025-05-05,0,10,0%,44.6
2025-05-06,2,14,14.29%,18
2025-05-07,2,16,12.5%,23.8
2025-05-08,0,23,0%,22
2025-05-09,0,15,0%,45.5
2025-05-10,1,10,10%,17.9
2025-05-11,0,13,0%,32.5
2025-05-12,0,8,0%,50.4
2025-05-13,0,13,0%,49.2
2025-05-14,0,10,0%,21.4
2025-05-15,0,12,0%,26.9
2025-05-16,2,18,11.11%,20.6
2025-05-17,0,8,0%,24.4
2025-05-18,0,12,0%,18.1
2025-05-19,0,13,0%,12.2
2025-05-20,0,17,0%,19.1
2025-05-21,0,10,0%,18.8
2025-05-22,0,17,0%,15.1
2025-05-23,0,20,0%,23.2
2025-05-24,0,22,0%,24.6
2025-05-25,0,12,0%,19.9
2025-05-26,0,16,0%,21.9
2025-05-27,0,25,0%,35.5
2025-05-28,0,17,0%,22.2
2025-05-29,0,29,0%,29.8
2025-05-30,1,22,4.55%,36.6
2025-05-31,1,13,7.69%,38.1
2025-06-01,1,18,5.56%,41.3
2025-06-02,0,26,0%,27.3
2025-06-03,1,17,5.88%,37.1
2025-06-04,1,25,4%,39.8
2025-06-05,0,25,0%,30.8
2025-06-06,0,30,0%,34.5
2025-06-07,0,23,0%,32.3
2025-06-08,0,30,0%,36.1
2025-06-09,0,23,0%,41.4
2025-06-10,0,23,0%,35
2025-06-11,0,27,0%,36.8
2025-06-12,0,22,0%,38.6
2025-06-13,0,23,0%,36.3
2025-06-14,1,33,3.03%,32.2
2025-06-15,0,32,0%,37.7
2025-06-16,1,17,5.88%,36.1
2025-06-17,0,28,0%,34.4
2025-06-18,0,19,0%,43.7
2025-06-19,0,23,0%,39.5
2025-06-20,0,29,0%,38.3
2025-06-21,0,20,0%,28.9
2025-06-22,0,24,0%,36.3
2025-06-23,2,21,9.52%,25.5
2025-06-24,0,23,0%,34.3
2025-06-25,0,14,0%,22.4
2025-06-26,0,22,0%,29.5
2025-06-27,1,19,5.26%,28.6
2025-06-28,0,21,0%,29.4
2025-06-29,0,19,0%,24
2025-06-30,0,19,0%,35.3
2025-07-01,0,13,0%,25.5
2025-07-02,1,25,4%,23.3
2025-07-03,0,8,0%,16.9
2025-07-04,0,20,0%,34
2025-07-05,1,21,4.76%,39.9
2025-07-06,1,18,5.56%,34.4
2025-07-07,0,16,0%,20.1
2025-07-08,0,16,0%,31.6
2025-07-09,0,17,0%,30
2025-07-10,0,19,0%,31.5
2025-07-11,0,24,0%,34.4
2025-07-12,0,20,0%,30.4
2025-07-13,0,22,0%,21.7
2025-07-14,0,21,0%,33.3
2025-07-15,0,20,0%,28.4
2025-07-16,0,17,0%,23.4
2025-07-17,0,13,0%,34.3
2025-07-18,0,14,0%,34.7
2025-07-19,1,20,5%,38.9
2025-07-20,0,11,0%,35.9
2025-07-21,0,20,0%,31.1
2025-07-22,0,13,0%,39.9
2025-07-23,0,16,0%,26.5
2025-07-24,0,27,0%,30.2
2025-07-25,0,20,0%,42.8
2025-07-26,0,16,0%,42.2
2025-07-27,0,20,0%,34.1
2025-07-28,0,20,0%,28.6
2025-07-29,0,15,0%,33.9
2025-07-30,0,21,0%,34.1
2025-07-31,1,16,6.25%,29
2025-08-01,0,14,0%,39.7
2025-08-02,0,18,0%,47.8
2025-08-03,0,13,0%,41.5
2025-08-04,0,18,0%,35.4
2025-08-05,0,23,0%,42.4
2025-08-06,0,19,0%,42
2025-08-07,0,21,0%,32
2025-08-08,0,12,0%,56.2
2025-08-09,1,20,5%,30.8
2025-08-10,0,21,0%,37.1
2025-08-11,0,15,0%,42.3
2025-08-12,0,13,0%,34.2
2025-08-13,0,15,0%,40.1
2025-08-14,0,14,0%,36.7
2025-08-15,0,20,0%,41
2025-08-16,0,14,0%,31.8
2025-08-17,0,17,0%,30.1
2025-08-18,0,8,0%,32.5
2025-08-19,0,20,0%,33.2
2025-08-20,0,15,0%,30.9
2025-08-21,0,25,0%,25.5
2025-08-22,0,14,0%,56
2025-08-23,0,9,0%,47.3
2025-08-24,0,10,0%,32.5
2025-08-25,0,9,0%,28.7
2025-08-26,0,15,0%,34.9
2025-08-27,0,25,0%,43
2025-08-28,0,21,0%,30.6
2025-08-29,0,20,0%,24.9
2025-08-30,0,16,0%,21.9
2025-08-31,0,20,0%,21.1
2025-09-01,0,22,0%,26.2
2025-09-02,0,13,0%,28.1
2025-09-03,0,11,0%,26.8
2025-09-04,0,17,0%,53.8
2025-09-05,0,20,0%,35.2
2025-09-06,0,12,0%,24.6
2025-09-07,0,17,0%,32.8
2025-09-08,0,27,0%,30.9
2025-09-09,0,21,0%,18.3
2025-09-10,1,12,8.33%,51.5
2025-09-11,0,12,0%,34.8
2025-09-12,0,11,0%,14.2
2025-09-13,0,7,0%,32.6
2025-09-14,0,5,0%,39
2025-09-15,1,8,12.5%,7.4
2025-09-16,0,6,0%,8.2
2025-09-17,0,10,0%,14.2
2025-09-18,0,9,0%,22.3
2025-09-19,0,10,0%,26.1
2025-09-20,0,18,0%,18.3
2025-09-21,0,11,0%,12.3
2025-09-22,0,15,0%,6.4
2025-09-23,1,9,11.11%,11
2025-09-24,0,4,0%,30.5
2025-09-25,0,12,0%,20.5
2025-09-26,0,15,0%,21.5
2025-09-27,0,12,0%,25.7
2025-09-28,0,12,0%,22.2
2025-09-29,0,16,0%,22.9
2025-09-30,0,8,0%,7.2
2025-10-01,0,9,0%,26.7
2025-10-02,0,18,0%,17
2025-10-03,0,8,0%,22.9
2025-10-04,0,13,0%,18.2
2025-10-05,0,16,0%,19.4
2025-10-06,0,13,0%,17.1
2025-10-07,0,9,0%,9.9
2025-10-08,0,15,0%,20.2
2025-10-09,0,15,0%,22.3
2025-10-10,0,10,0%,32
2025-10-11,1,17,5.88%,19.9
2025-10-12,1,9,11.11%,8.7
2025-10-13,0,16,0%,18
2025-10-14,0,12,0%,11.8
2025-10-15,0,19,0%,19.8
2025-10-16,0,13,0%,20.6
2025-10-17,0,13,0%,26.8
2025-10-18,0,20,0%,14.2
2025-10-19,0,13,0%,16.8
2025-10-20,0,5,0%,25.6
2025-10-21,0,11,0%,18.5
2025-10-22,0,20,0%,15.2
2025-10-23,0,19,0%,18.3
2025-10-24,1,19,5.26%,16.8
2025-10-25,0,18,0%,15.6
2025-10-26,0,24,0%,14.3
2025-10-27,0,16,0%,13.6
2025-10-28,1,12,8.33%,21.1
2025-10-29,0,14,0%,13.9
2025-10-30,0,17,0%,28.2
2025-10-31,0,10,0%,16.2
2025-11-01,0,14,0%,17.9
2025-11-02,0,16,0%,25.6
2025-11-03,1,23,4.35%,10.2
2025-11-04,0,15,0%,16.2
2025-11-05,0,13,0%,17.6
2025-11-06,0,21,0%,20.4
2025-11-07,0,19,0%,13.6
2025-11-08,0,11,0%,18.8
2025-11-09,0,11,0%,16.7
2025-11-10,0,13,0%,11.2
2025-11-11,0,20,0%,17.6
2025-11-12,0,15,0%,17
2025-11-13,0,11,0%,18.6
2025-11-14,0,11,0%,37.9
2025-11-15,0,10,0%,22.9
2025-11-16,1,15,6.67%,26.9
2025-11-17,0,10,0%,17.5
2025-11-18,0,17,0%,17.1
2025-11-19,0,19,0%,14.8
2025-11-20,0,24,0%,24.5
2025-11-21,0,12,0%,22.2
2025-11-22,0,9,0%,33.9
2025-11-23,1,16,6.25%,20.2
2025-11-24,0,19,0%,19.5
2025-11-25,0,9,0%,14.7
2025-11-26,0,16,0%,16.2
2025-11-27,0,17,0%,26.8
2025-11-28,0,12,0%,26.6
2025-11-29,0,15,0%,24
2025-11-30,0,13,0%,7.5
2025-12-01,0,13,0%,7.4
2025-12-02,0,17,0%,13.5
2025-12-03,0,12,0%,18.8
2025-12-04,0,11,0%,20.2
2025-12-05,0,13,0%,16.7
2025-12-06,1,9,11.11%,9.1
2025-12-07,0,14,0%,13.6
2025-12-08,1,11,9.09%,6.1
2025-12-09,1,13,7.69%,11.2
2025-12-10,0,18,0%,6.8
2025-12-11,0,20,0%,10.8
2025-12-12,0,12,0%,20.1
2025-12-13,0,7,0%,6.7
2025-12-14,1,12,8.33%,22.5
2025-12-15,0,12,0%,34.4
2025-12-16,0,25,0%,17.6
2025-12-17,0,13,0%,19.2
2025-12-18,0,15,0%,20.4
2025-12-19,0,10,0%,7.7
2025-12-20,0,8,0%,6.1
2025-12-21,1,11,9.09%,8.3
2025-12-22,1,9,11.11%,22.9
