Top pages,Clicks,Impressions,CTR,Position
https://perennialweaver.com/,26,167,15.57%,14
https://perennialweaver.com/learning-deflected-double-weave-a-beginners-guide/,11,205,5.37%,11.89
https://perennialweaver.com/round-inkle-bag/,5,104,4.81%,8.73
https://perennialweaver.com/woven-with-passion-my-weaving-journey/,2,183,1.09%,13.39
https://perennialweaver.com/canvas-pattern-scarf/,2,148,1.35%,20.61
https://perennialweaver.com/products/scarves/,2,100,2%,17.61
https://perennialweaver.com/honey-pot/,2,49,4.08%,7.02
https://perennialweaver.com/lap-wrap/,1,312,0.32%,7.35
https://perennialweaver.com/brooks-bouquet-scarf/,1,113,0.88%,29.87
https://perennialweaver.com/shop/,1,88,1.14%,11.15
https://perennialweaver.com/products/bags/,1,63,1.59%,14.56
https://perennialweaver.com/turn-twill-cotton-scarf-and-pouch/,1,58,1.72%,13.95
https://perennialweaver.com/contact/,1,41,2.44%,22.68
https://perennialweaver.com/undulated-twill/,1,25,4%,41.12
https://perennialweaver.com/orange-alpaca-cushion/,1,16,6.25%,59.81
https://perennialweaver.com/square-novelty-bag/,1,14,7.14%,13.43
https://perennialweaver.com/passementerie-online-course-with-elizabeth-ashdown/,1,10,10%,10.3
https://perennialweaver.com/pearl-pattern-scarf/,0,819,0%,45.04
https://perennialweaver.com/clapsed-pattern-scarf/,0,517,0%,8.41
https://perennialweaver.com/red-and-grey/,0,331,0%,31.54
https://perennialweaver.com/novelty-purse/,0,194,0%,54.48
https://perennialweaver.com/jazzy-bag/,0,159,0%,8.65
https://perennialweaver.com/novelty-diamond-pattern-scarf/,0,155,0%,30.45
https://perennialweaver.com/asymetrical-bag/,0,141,0%,31.26
https://perennialweaver.com/find-perennial-weaver-at-uk-craft-fairs-near-you/,0,112,0%,13.38
https://perennialweaver.com/novelty-bag/,0,111,0%,47.56
https://perennialweaver.com/golden-scarf/,0,107,0%,19.93
https://perennialweaver.com/pink-diamond-scarf/,0,83,0%,10.37
https://perennialweaver.com/log-cabin/,0,81,0%,19.88
https://perennialweaver.com/honey-house/,0,80,0%,43.58
https://perennialweaver.com/point-threading-weave-scarf/,0,76,0%,22.25
https://perennialweaver.com/pyramid-scarf/,0,71,0%,9.34
https://perennialweaver.com/caramel-blanket/,0,71,0%,24.04
https://perennialweaver.com/green-scarf-and-matching-purse/,0,58,0%,9.53
https://perennialweaver.com/dream-catcher/,0,56,0%,15.45
https://perennialweaver.com/blue-twill-bag/,0,54,0%,16.43
https://perennialweaver.com/silk-blend-scarf/,0,53,0%,28.74
https://perennialweaver.com/products/cushions/,0,49,0%,23.04
https://perennialweaver.com/products/collections/,0,46,0%,4.2
https://perennialweaver.com/variegated-hand-dyed-blue-scarf/,0,44,0%,15.11
https://perennialweaver.com/pink-table-matts-and-coasters/,0,38,0%,18.32
https://perennialweaver.com/cotton-diamond-pattern-scarf/,0,36,0%,29.64
https://perennialweaver.com/rainbow/,0,33,0%,12.21
https://perennialweaver.com/returns-and-refunds-handmade-with-care/,0,32,0%,8.06
https://perennialweaver.com/soothing-waves-scarf/,0,32,0%,16.12
https://perennialweaver.com/double-weave-scarf/,0,26,0%,17
https://perennialweaver.com/perennial-weaver-at-the-morley-gallery-celebrating-the-lgwsds-75th-anniversary/,0,25,0%,6.16
https://perennialweaver.com/baby-blanket-waffle-pattern/,0,23,0%,53.96
https://perennialweaver.com/crackle-weave-cushion/,0,21,0%,23.76
https://perennialweaver.com/blog/,0,19,0%,4.79
https://perennialweaver.com/frequently-asked-questions-faqs/,0,18,0%,7.72
https://perennialweaver.com/needles-holder/,0,14,0%,44.29
https://perennialweaver.com/pot-luck-scarf/,0,12,0%,8.5
https://perennialweaver.com/summer-winter-table-runner/,0,10,0%,10.6
https://perennialweaver.com/blue-twill-scarf/,0,9,0%,18.33
https://perennialweaver.com/6-multicoloured-lines-blue-table-matts/,0,8,0%,15.25
https://perennialweaver.com/espalier-tea-set-and-4-matching-table-matts/,0,8,0%,20.75
https://perennialweaver.com/scarf-and-pouch/,0,6,0%,7.33
https://perennialweaver.com/about-me,0,3,0%,5
https://perennialweaver.com/weaving-a-copper-and-violet-cushion-cover/,0,3,0%,8.33
https://perennialweaver.com/privacy-policy/,0,3,0%,9.67
https://perennialweaver.com/wishing-star/,0,2,0%,10.5
https://perennialweaver.com/crackle-weave-cushion/?gQT=1,0,1,0%,1
https://perennialweaver.com/hand-painted-baby-owl-postcard-acrylic-artwork/,0,1,0%,20
https://perennialweaver.com/novelty-purse/?gQT=1,0,1,0%,34
